Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Vuota_T1_0,Piena_T1_1,Piena_T1_1,Piena_T1_0']]], ['9.060936257774868e-05-31']]
[[[['Vuota_T0_0'], ['Vuota_T2_0,Piena_T2_1,Piena_T2_1,Piena_T2_0']]], ['8.184071458635365e-05-28']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9884910485933504-1546']]
[[[['Vuota_T0_0,Piena_T0_2,Piena_T0_0'], ['Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9883268482490273-508']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9882039159577611-127085']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9881035041429431-128076']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.987224647747569-79594']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9871292118947226-80300']]
[[[['Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9870146111678513-47354']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.986468200270636-1458']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3']]], ['0.986162610046608-47607']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9859594383775351-632']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.985048253364143-21741']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_0,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9848484848484849-130']]
[[[['Vuota_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3']]], ['0.9848153859333505-45983']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9846578022857652-22142']]
[[[['Vuota_T0_2,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.984653378020815-44656']]
[[[['Vuota_T0_1,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9846322722283205-18837']]
[[[['Vuota_T0_0,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9845360824742269-764']]
[[[['Vuota_T0_0'], ['Vuota_T1_1,Piena_T1_3,Piena_T1_0'], ['Vuota_T2_3']]], ['0.984472049689441-634']]
[[[['Vuota_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['Piena_T2_3']]], ['0.9844386888586957-46371']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9841463414634146-807']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_0,Piena_T1_0'], ['Vuota_T2_3']]], ['0.9836065573770492-60']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_2,Vuota_T1_2'], ['Vuota_T2_2']]], ['0.9826828572866175-117181']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_1,Piena_T1_0'], ['Vuota_T2_3']]], ['0.982421875-503']]
[[[['Vuota_T0_0'], ['Vuota_T1_2,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_2']]], ['0.9823712754020696-118194']]
[[[['Vuota_T0_3,Piena_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9822946549569687-55813']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9821017060307686-107822']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_1,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9819780736241787-108649']]
[[[['Vuota_T0_3,Vuota_T0_3,Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3']]], ['0.9819740535619452-129434']]
[[[['Vuota_T0_0,Piena_T0_3'], ['Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9819630125639617-126849']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_2,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9818265611798142-127824']]
