Pattern, Support-Frequence
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9986364222116333-333226']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_0'], ['Vuota_T2_3']]], ['0.9984505008539211-264836']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_1'], ['Vuota_T2_3']]], ['0.9984470710033647-324044']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_1'], ['Vuota_T2_3']]], ['0.9984202055707501-101119']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Vuota_T1_2'], ['Vuota_T2_3']]], ['0.9984145656925153-334393']]
[[[['Vuota_T0_1,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9984145484201782-328092']]
[[[['Vuota_T0_2,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9984099381841137-335302']]
[[[['Vuota_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9983952057512036-337196']]
[[[['Vuota_T0_0,Piena_T0_1'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.99834822583534-100332']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9983280758964769-337369']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_2'], ['Vuota_T2_3']]], ['0.9982740813220266-220371']]
[[[['Vuota_T0_0,Piena_T0_2'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9982609566559381-219279']]
[[[['Piena_T0_3,Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3'], ['Vuota_T2_3']]], ['0.9982576769984625-277879']]
[[[['Vuota_T0_0'], ['Vuota_T1_3,Vuota_T1_3,Piena_T1_3'], ['Vuota_T2_3']]], ['0.9982416433293463-278747']]
