Pattern, Support-Frequence
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9995450292847348-155983']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.999515676777976-156844']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9993929596094494-156402']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9993855174135404-156133']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9992411595082714-131680']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9992248297665369-131482']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9992216766224562-157909']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.999181301168677-159879']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9991643156499174-159018']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.999161840021272-172853']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.999091855622397-172723']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9990837266393513-173370']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9990786221270485-157228']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9990421148047907-155402']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9990379837158039-156811']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9990071586120529-177093']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9989964564138909-176198']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9989891704951361-175915']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9989818692190879-173671']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9989789441730828-181000']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9989652640888832-172812']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.99896421357916-135023']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T2_2']]], ['0.998954881468264-156756']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9989420844486414-140694']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9989392217351302-184574']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9989369446402366-172902']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9989351554007587-135087']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9989340073630419-181796']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9989265092575023-184247']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.99892453138285-177406']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_1,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9989142113894701-176638']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9989004436518399-182600']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9988923840326082-180368']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9988922827201588-182155']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9988908953094346-179225']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.998882228529473-182302']]
[[[['QuasiPiena_T0_1,QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9988775452648203-177091']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9988750909852879-181144']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9988749770887188-158041']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9988644169196339-180319']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9988628271442057-180945']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9988610910747504-184177']]
[[[['QuasiPiena_T0_0,Piena_T0_3'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9988544492860862-182236']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9988410095850155-181844']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.998835964825174-181055']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9988314976305369-184636']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9988303438228846-142610']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9988023562692043-184308']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T2_3']]], ['0.9986709010396365-156289']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9986571855830562-130892']]
[[[['Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9986264499686386-125778']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9986237795600682-130613']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9986173046852377-137945']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9986128210018901-172773']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9985530678797512-182191']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9985378490488073-125658']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9985376279575537-133150']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9985218033998522-140504']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9985144216855848-155264']]
[[[['QuasiPiena_T0_0,Piena_T0_1,Piena_T0_1'], ['Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9984755228814042-140162']]
[[[['QuasiPiena_T0_3,Piena_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9984748347737672-125696']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9984577837004207-133368']]
[[[['Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9984389825839429-130480']]
[[[['QuasiPiena_T0_3,Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9984308255601081-125983']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9984263002485667-179548']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9984161372982696-176503']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9984107256769539-181555']]
[[[['QuasiPiena_T0_2,Piena_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9984019971061042-125581']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9983894869285614-178537']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9983804990425746-202820']]
[[[['Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9983769333587932-125484']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_2']]], ['0.9983683212158602-173158']]
[[[['Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9983665769434283-130188']]
[[[['Piena_T0_2,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.998358015975632-125860']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9983573336608431-130062']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9983567899170323-173156']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T2_2']]], ['0.9983563527279545-159747']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9983481011287073-184331']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.998330550918197-125580']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9983304224723596-129756']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2']]], ['0.9983252914158749-180624']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9982973137039103-202276']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9982960919261438-164634']]
[[[['Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982953478766943-132938']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T2_3']]], ['0.9982884705150148-173232']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_1'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982781790693768-166397']]
[[[['Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982707196344713-125846']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_1,Piena_T1_1'], ['QuasiPiena_T2_2']]], ['0.9982697584177339-137892']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_2']]], ['0.9982635443540385-140847']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982609865298515-207802']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9982555532466396-182547']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9982523960424513-180503']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9982451300442933-130265']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9982438903193748-176785']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9982369024978178-172686']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982338529062514-132823']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9982259347653143-125477']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_0,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9982209733337809-208170']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_2,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9982167119565217-164570']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9982154299436483-166689']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9982137328220639-125736']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_2,QuasiPiena_T1_2,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982116014646367-129493']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.9982110809442731-173537']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9982071189741424-193753']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9982009730145952-142598']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_1,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9981977110930882-132924']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.998190061573985-166003']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['QuasiPiena_T1_2,QuasiPiena_T1_2'], ['QuasiPiena_T2_2']]], ['0.998187332068911-202097']]
[[[['Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9981809660738258-125662']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_3'], ['QuasiPiena_T2_2']]], ['0.998173218612198-180862']]
[[[['Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9981709489686844-126064']]
[[[['QuasiPiena_T0_2,Piena_T0_3,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9981670594396439-125796']]
