Pattern, Support-Frequence
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9969829665288983-105414']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9968569438955075-105932']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9967482328717246-158780']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,QuasiPiena_T0_3,QuasiPiena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9966899204956375-159587']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.996258208400446-80408']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9962084784170674-90122']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,QuasiPiena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9962018855461479-66359']]
[[[['QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9961868028314085-90914']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_0'], ['QuasiPiena_T2_3']]], ['0.9960986941048587-66895']]
[[[['Piena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9960779612249092-58159']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9960402786190188-131557']]
[[[['QuasiPiena_T0_0'], ['QuasiPiena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9959697732997481-130482']]
[[[['QuasiPiena_T0_0,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9959330322612839-79832']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_3'], ['QuasiPiena_T1_3']]], ['0.9959184961551814-94675']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9957943925233644-93764']]
[[[['Piena_T0_2,Piena_T0_2,Piena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9957499498025567-59510']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9957200373775712-86312']]
[[[['QuasiPiena_T0_3,Piena_T0_0'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9957182687201275-89997']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_2,Piena_T1_2,Piena_T1_2'], ['QuasiPiena_T2_2']]], ['0.9956397935575725-78323']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9955381511807286-83894']]
[[[['QuasiPiena_T0_0,QuasiPiena_T0_3'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9955359872806213-130240']]
[[[['QuasiPiena_T0_0,Piena_T0_2,Piena_T0_2,Piena_T0_2'], ['QuasiPiena_T1_2']]], ['0.9955359363342452-80061']]
[[[['QuasiPiena_T0_0,Piena_T0_1'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9954088350792967-85423']]
[[[['Piena_T0_3,Piena_T0_3,Piena_T0_3,Piena_T0_0'], ['QuasiPiena_T1_3']]], ['0.9952073867800088-67903']]
[[[['Piena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.995146205753522-67248']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_1'], ['QuasiPiena_T2_3']]], ['0.9950455653959697-77524']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,Piena_T0_2'], ['QuasiPiena_T1_3']]], ['0.994983719088269-113060']]
[[[['QuasiPiena_T0_0'], ['Piena_T1_3,Piena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9949696845591574-111754']]
[[[['Piena_T0_0'], ['QuasiPiena_T1_3,QuasiPiena_T1_3,Piena_T1_2'], ['QuasiPiena_T2_3']]], ['0.9949010525897286-100096']]
[[[['Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3,QuasiPiena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9948277154493891-79628']]
[[[['QuasiPiena_T0_2,QuasiPiena_T0_2,QuasiPiena_T0_2,Piena_T0_0'], ['QuasiPiena_T1_2']]], ['0.9948267965692398-95575']]
[[[['QuasiPiena_T0_0,Piena_T0_2'], ['Piena_T1_3,Piena_T1_3'], ['QuasiPiena_T2_3']]], ['0.9948261276103121-111714']]
[[[['QuasiPiena_T0_3,QuasiPiena_T0_3,Piena_T0_0,Piena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9946890739540218-79786']]
[[[['QuasiPiena_T0_0,Piena_T0_3,Piena_T0_3,QuasiPiena_T0_1'], ['QuasiPiena_T1_3']]], ['0.9946753988915396-109656']]
